APPCH:050,A,T10,D186O,CT10,EP,P,C,EE B,R,   ,AF, ,TAS,EP,D, ,      ,2857,0120,2710,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T10, ,CT10,EP,P,C,E  I, ,   ,IF, ,TAS,EP,D, ,      ,2857,0120,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T10, ,FT10,EP,P,C,E  F, ,   ,CF, ,TAS,EP,D, ,      ,2857,0058,1060,0062,+,02300,     ,     , ,   ,    ,   ,TAS,EP,D, , ,0,D,S;
APPCH:030,T,T10, ,RW10,EP,P,G,G  M, ,   ,CF, ,TAS,EP,D, ,      ,2886,0007,1060,0051, ,00668,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T10, ,RW10,EP,P,G,G M , ,   ,FA, ,TAS,EP,D, ,      ,2886,0007,1060,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T10, , , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,2160,    , ,     ,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:060,T,T10, ,D186O,EP,P,C,EE H, ,   ,CF, ,TAS,EP,D, ,      ,1860,0150,1860,0060, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,T28,D186O,D186O,EP,P,C,E  C, ,   ,FD, ,TAS,EP,D, ,      ,1860,0150,0060,0140, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T28,D186O, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0060,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T28,D186O,LK101,EP,P,C,E   ,L,   ,AF, ,TAS,EP,D, ,      ,1506,0120,1860,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T28,D186O,D113L,EP,P,C,E   ,L,   ,AF, ,TAS,EP,D, ,      ,1130,0120,1510,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,T28,D186O,CT28,EP,P,C,EE B,L,   ,AF, ,TAS,EP,D, ,      ,0980,0120,1130,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T28, ,CT28,EP,P,C,E  I, ,   ,IF, ,TAS,EP,D, ,      ,0980,0120,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T28, ,FT28,EP,P,C,E  F, ,   ,CF, ,TAS,EP,D, ,      ,0980,0060,2780,0060,+,02300,     ,     , ,   ,    ,   ,TAS,EP,D, , ,0,D,S;
APPCH:030,T,T28, ,RW28,EP,P,G,G  M, ,   ,CF, ,TAS,EP,D, ,      ,0962,0010,2780,0051, ,00681,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T28, ,RW28,EP,P,G,G M , ,   ,FA, ,TAS,EP,D, ,      ,0962,0010,2780,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T28, , , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,1560,    , ,     ,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:060,T,T28, ,D186O,EP,P,C,EE H, ,   ,CF, ,TAS,EP,D, ,      ,1860,0150,1860,0060, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
RWY:RW10 ,     ,      ,00618, ,    , ,   ;N51331808,E019094271,0000;
RWY:RW28 ,     ,      ,00631, ,IAS ,1,   ;N51324907,E019121130,0000;
